Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 06:39:00,5966,5967.75,5962.75,5963.25,4091,5,2.9,13.6,5972.74,2.9,13.6,2.9,18.2,33.6,48.4,4.75
31/12/2024 06:40:00,5963.25,5964.5,5960.5,5961.75,4398,4,6.4,10,5971.9,6.4,10,6.4,13.5,28.7,44.8,4.964
31/12/2024 06:41:00,5961.75,5963.5,5960,5962.5,5150,3.5,12.5,11.2,5971.11,12.5,11.2,12.5,13.1,25.7,41.4,4.982
31/12/2024 06:42:00,5962.5,5963.25,5959,5963,3008,4.25,19,15.1,5970.72,19,15.1,19,15.5,24.5,38.3,5.214
31/12/2024 06:43:00,5963.25,5966.75,5961.5,5964.5,3697,5.25,26.2,20.7,5970.38,31.4,23.3,26.2,19.8,24.8,35.9,5.393
31/12/2024 06:44:00,5964.75,5966.25,5962.75,5964.5,2326,3.5,26.2,23.4,5970.16,32.8,28.1,26.2,22.3,25.1,33.9,5.054
31/12/2024 06:45:00,5964.75,5969,5963.5,5966,3538,5.5,33.3,28.4,5969.9,45.2,36.6,33.3,26.7,26.6,32.6,5.143
31/12/2024 06:46:00,5966,5973,5965.5,5973,3985,7.5,66.7,47.5,5970,100,68.3,66.7,42.7,33.9,32.8,5.232
31/12/2024 06:47:00,5973,5974.75,5971.25,5974.5,2848,3.5,73.8,60.7,5970.1,98.4,83.4,73.8,55.1,41.1,34.3,4.786
31/12/2024 06:48:00,5974.5,5975,5972.25,5974.25,2550,2.75,87.1,73.9,5970.2,95.3,89.3,72.6,62.1,46.9,36.6,4.571
31/12/2024 06:49:00,5974.25,5974.5,5972,5972.5,2039,2.5,80.6,77.3,5970.21,84.4,86.9,64.3,63,50,39,4.518
31/12/2024 06:50:00,5972.5,5973.25,5963.5,5964,4260,9.75,31.3,54.3,5969.19,31.3,59.1,23.8,47.3,45.3,40.2,4.893
31/12/2024 06:51:00,5963.75,5967.5,5963,5967.25,3162,4.5,51.6,52.9,5968.8,42.6,50.8,39.3,44.1,44.2,40.9,4.929
31/12/2024 06:52:00,5967.25,5969,5964,5966.75,2954,5,48.4,50.7,5968.61,32.7,41.7,36.9,41.2,42.8,41.2,4.75
31/12/2024 06:53:00,5966.75,5967,5963,5964.25,2491,4,32.8,41.7,5967.68,10.4,26.1,25,34.7,39.6,41,4.679
31/12/2024 06:54:00,5964.5,5967,5960.75,5966.5,3524,6.25,46.9,44.3,5967.13,40.4,33.2,35.7,35.1,38.9,40.6,4.839
31/12/2024 06:55:00,5966.5,5969.75,5966.25,5968.25,2968,3.5,57.8,51.1,5966.78,52.6,42.9,44,38.7,39.8,40.4,4.839
31/12/2024 06:56:00,5968.25,5970,5966.5,5968,2457,3.5,50.9,51,5966.61,50.9,46.9,42.9,40.4,40.4,40.4,4.786
31/12/2024 06:57:00,5967.75,5973,5967.75,5971.75,3169,5.25,77.2,64.1,5966.66,80,63.5,60.7,48.5,44.1,41.1,4.786
31/12/2024 06:58:00,5971.75,5973,5969.5,5972.25,2187,3.5,80.7,72.4,5966.91,92,77.7,63.1,54.3,47.5,42.3,4.786
31/12/2024 06:59:00,5972.25,5975,5972,5973.75,2644,3,91.2,81.8,5967.43,91.2,84.5,70.2,60.7,51.7,44,4.607
31/12/2024 07:00:00,5973.5,5975.5,5971.5,5974.75,3129,4,94.9,88.4,5968.2,94.9,89.7,75,66.4,55.9,46.1,4.357
31/12/2024 07:01:00,5974.75,5976.75,5972.5,5976.25,2984,4.25,96.9,92.6,5969.09,96.9,93.3,82.1,72.7,60.7,48.8,4.411
31/12/2024 07:02:00,5976,5980.25,5975.5,5978,3916,4.75,88.5,90.5,5969.97,88.5,90.9,89.4,79.4,65.9,51.9,4.554
31/12/2024 07:03:00,5978,5978.75,5973.25,5975.25,3039,5.5,74.4,82.4,5970.57,64.3,77.6,76.5,78.2,67.8,54.8,4.768
31/12/2024 07:04:00,5975.25,5975.75,5970.25,5972,3720,5.5,57.7,70.1,5970.89,40,58.8,61.2,71.4,66.6,56.9,4.464
31/12/2024 07:05:00,5972,5974.25,5970.5,5971.75,2910,3.75,56.4,63.2,5971.21,32,45.4,60,66.8,65.4,58.5,4.411
31/12/2024 07:06:00,5971.75,5972.75,5967,5967.75,4210,5.75,35.9,49.6,5970.86,5.7,25.5,41.2,56.6,61,58.9,4.464
31/12/2024 07:07:00,5967.75,5968.25,5958.75,5961,5659,9.5,10.5,30,5969.82,10.5,18,10.5,38.1,51.8,57.6,4.857
31/12/2024 07:08:00,5961,5962.25,5957.25,5961,5254,5,16.3,23.2,5968.96,16.3,17.2,16.3,29.4,45.4,55.4,4.768
31/12/2024 07:09:00,5960.75,5962,5957,5957.25,3689,5,1.1,12.1,5968.22,1.1,9.1,1.1,18.1,37.3,52.1,4.875
